Y轴坐标,主轴转速,Y轴功率,主轴功率,主轴负载,X轴负载,Y轴负载,Z轴负载,X轴电流,Y轴电流,Z轴电流,刃1磨损值,刃2磨损值,平均磨损值
53.436,5308.399,1.471,228.517,1.727,0.079,2.625,14.972,0.015,-0.439,-2.669,0.024169129,0.020940508,0.022554818
53.436,5308.399,1.471,228.517,1.727,0.079,2.625,14.972,0.015,-0.439,-2.669,0.02428496,0.021203084,0.022744022
52.756,5308.228,1.471,228.517,1.727,0,2.539,14.886,0.022,-0.432,-2.663,0.024352497,0.021216321,0.022784409
52.096,5307.369,1.471,228.517,1.727,0.153,2.728,14.777,0.015,-0.504,-2.652,0.025108386,0.021260153,0.02318427
52.096,5307.369,1.471,228.517,1.727,0.153,2.728,14.777,0.015,-0.504,-2.652,0.025180612,0.021601892,0.023391252
51.416,5307.827,1.471,228.517,1.733,0.128,2.802,14.899,0.012,-0.47,-2.688,0.025428218,0.021756331,0.023592274
51.416,5307.827,1.471,228.517,1.733,0.128,2.802,14.899,0.012,-0.47,-2.688,0.025479016,0.02237704,0.023928028
50.756,5307.827,1.471,228.517,1.733,0.055,2.594,15.033,0.014,-0.528,-2.683,0.025509512,0.02241715,0.023963331
50.756,5307.827,1.471,228.517,1.733,0.055,2.594,15.033,0.014,-0.528,-2.683,0.025644099,0.022784294,0.024214196
50.096,5307.255,1.471,228.517,1.727,0.098,3.003,14.972,0.017,-0.502,-2.702,0.025750825,0.022866948,0.024308887
50.096,5307.255,1.471,228.517,1.727,0.098,3.003,14.972,0.017,-0.502,-2.702,0.02580647,0.022895325,0.024350897
49.416,5307.083,1.471,228.517,1.733,0.116,3.424,14.899,0.021,-0.605,-2.681,0.02598704,0.023482691,0.024734866
49.416,5307.083,1.471,228.517,1.733,0.116,3.424,14.899,0.021,-0.605,-2.681,0.0260728,0.023737302,0.024905051
48.756,5307.713,1.471,228.517,1.727,0.171,2.966,14.789,0.026,-0.526,-2.697,0.026187118,0.02404784,0.025117479
48.096,5307.941,1.471,228.517,1.746,0.122,3.394,15.039,0.026,-0.612,-2.712,0.026221175,0.024248656,0.025234915
48.096,5307.941,1.471,228.517,1.746,0.122,3.394,15.039,0.026,-0.612,-2.712,0.026248223,0.024278536,0.02526338
47.416,5308.971,1.471,228.517,1.74,0.189,3.192,14.996,0.029,-0.581,-2.707,0.026297128,0.024673453,0.025485291
47.416,5308.971,1.471,228.517,1.74,0.189,3.192,14.996,0.029,-0.581,-2.707,0.026380292,0.025104185,0.025742238
46.756,5308.399,1.471,228.517,1.733,0.153,2.948,14.746,0.031,-0.485,-2.709,0.026477903,0.025538674,0.026008288
46.756,5308.399,1.471,228.517,1.733,0.153,2.948,14.746,0.031,-0.485,-2.709,0.026528091,0.025761374,0.026144732
46.096,5308.342,1.471,228.517,1.733,0.146,2.814,15.045,0.021,-0.533,-2.69,0.026647149,0.025779225,0.026213187
46.096,5308.342,1.471,228.517,1.733,0.146,2.814,15.045,0.021,-0.533,-2.69,0.026906159,0.026214532,0.026560345
45.416,5308.685,1.471,228.517,1.733,0.018,2.618,15.07,0.005,-0.467,-2.702,0.026911943,0.026532204,0.026722073
44.756,5308.285,1.471,228.517,1.733,0.159,2.795,15.021,0.005,-0.509,-2.71,0.027602508,0.026617884,0.027110196
44.756,5308.285,1.471,228.517,1.733,0.159,2.795,15.021,0.005,-0.509,-2.71,0.027692298,0.027027042,0.02735967
44.096,5307.77,1.471,228.517,1.727,0.073,2.795,14.948,0.003,-0.502,-2.688,0.027849822,0.027029433,0.027439628
44.096,5307.77,1.471,228.517,1.727,0.073,2.795,14.948,0.003,-0.502,-2.688,0.02810053,0.027293879,0.027697205
43.416,5308.628,1.471,228.517,1.733,0.055,2.789,14.813,0,-0.538,-2.668,0.028583902,0.028186686,0.028385294
43.416,5308.628,1.471,228.517,1.733,0.055,2.789,14.813,0,-0.538,-2.668,0.028749817,0.028784934,0.028767376
42.756,5308.399,1.471,228.517,1.733,0.177,3.046,15.021,0.002,-0.482,-2.683,0.028906457,0.028797698,0.028852077
42.756,5308.399,1.471,228.517,1.733,0.177,3.046,15.021,0.002,-0.482,-2.683,0.029044066,0.029018527,0.029031296
42.096,5308.8,1.471,228.517,1.74,0.006,2.771,15.509,0.002,-0.54,-2.794,0.029198408,0.029157032,0.02917772
42.096,5308.8,1.471,228.517,1.74,0.006,2.771,15.509,0.002,-0.54,-2.794,0.029632081,0.029397305,0.029514693
41.416,5308.628,1.471,228.517,1.733,0.128,2.692,14.795,0.015,-0.497,-2.664,0.029667587,0.029406633,0.02953711
40.756,5307.255,1.471,228.517,1.74,0.031,3.186,15.051,0.015,-0.567,-2.64,0.030124633,0.029414863,0.029769748
40.756,5307.255,1.471,228.517,1.74,0.031,3.186,15.051,0.015,-0.567,-2.64,0.030145495,0.029553383,0.029849439
40.096,5308.514,1.471,228.517,1.733,0.128,2.924,14.618,0.014,-0.521,-2.63,0.030634947,0.029734682,0.030184814
40.096,5308.514,1.471,228.517,1.733,0.128,2.924,14.618,0.014,-0.521,-2.63,0.031110229,0.029824397,0.030467313
39.416,5308.113,1.471,228.517,1.74,0.165,3.021,14.697,0.019,-0.542,-2.646,0.031121504,0.029922502,0.030522003
39.416,5308.113,1.471,228.517,1.74,0.165,3.021,14.697,0.019,-0.542,-2.646,0.031271889,0.029993699,0.030632794
39.416,5308.113,1.471,228.517,1.74,0.165,3.021,14.697,0.019,-0.542,-2.646,0.031709948,0.030130606,0.030920277
38.756,5307.884,1.471,228.517,1.74,0.11,2.82,14.966,0.015,-0.518,-2.675,0.031807408,0.03073669,0.031272049
38.096,5308.456,1.471,228.517,1.746,0.146,2.863,14.838,0.015,-0.52,-2.685,0.03187783,0.031342899,0.031610365
38.096,5308.456,1.471,228.517,1.746,0.146,2.863,14.838,0.015,-0.52,-2.685,0.031959974,0.031581144,0.031770559
37.416,5307.941,1.471,228.517,1.746,0.177,2.844,14.917,0.027,-0.504,-2.683,0.032247181,0.0316429,0.03194504
36.756,5307.541,1.471,228.517,1.752,0.159,2.802,14.709,0.027,-0.516,-2.697,0.032514568,0.031742786,0.032128677
36.756,5307.541,1.471,228.517,1.752,0.159,2.802,14.709,0.027,-0.516,-2.697,0.033416305,0.031747978,0.032582141
36.096,5307.655,1.471,228.517,1.74,0.183,2.899,14.832,0.031,-0.516,-2.671,0.033535684,0.031752058,0.032643871
36.096,5307.655,1.471,228.517,1.74,0.183,2.899,14.832,0.031,-0.516,-2.671,0.033712264,0.031852425,0.032782344
35.416,5308.628,1.471,228.517,1.752,0.201,2.972,14.899,0.032,-0.526,-2.678,0.033771941,0.032583363,0.033177652
35.416,5308.628,1.471,228.517,1.752,0.201,2.972,14.899,0.032,-0.526,-2.678,0.033949341,0.032756543,0.033352942
34.756,5307.827,1.471,228.517,1.752,0.098,3.088,14.832,0.026,-0.562,-2.705,0.034038573,0.032881421,0.033459997
34.756,5307.827,1.471,228.517,1.752,0.098,3.088,14.832,0.026,-0.562,-2.705,0.034112461,0.0330829,0.03359768
34.096,5307.655,1.471,228.517,1.746,0.171,2.985,15.076,0.027,-0.535,-2.712,0.0343877,0.033085788,0.033736744
34.096,5307.655,1.471,228.517,1.746,0.171,2.985,15.076,0.027,-0.535,-2.712,0.034446241,0.033209283,0.033827762
33.416,5307.598,1.471,228.517,1.752,0.061,3.101,15.167,0.012,-0.586,-2.721,0.034998377,0.033293628,0.034146002
32.756,5307.598,1.471,237.306,1.758,0.037,3.357,14.929,-0.009,-0.561,-2.698,0.035021801,0.033531133,0.034276467
32.756,5307.598,1.471,237.306,1.758,0.037,3.357,14.929,-0.009,-0.561,-2.698,0.03507271,0.033584897,0.034328804
32.096,5308.285,1.471,237.306,1.758,0.061,2.844,15.07,0,-0.53,-2.7,0.035095238,0.033758386,0.034426812
32.096,5308.285,1.471,237.306,1.758,0.061,2.844,15.07,0,-0.53,-2.7,0.035165951,0.033809772,0.034487861
31.416,5308.113,1.471,237.306,1.764,0.098,2.783,14.917,-0.003,-0.489,-2.693,0.035315857,0.034743765,0.035029811
31.416,5308.113,1.471,237.306,1.764,0.098,2.783,14.917,-0.003,-0.489,-2.693,0.036743665,0.034771267,0.035757466
30.756,5309.315,1.471,237.306,1.77,0.146,2.942,15.002,0,-0.531,-2.657,0.03684846,0.034787919,0.03581819
30.756,5309.315,1.471,237.306,1.77,0.146,2.942,15.002,0,-0.531,-2.657,0.036891655,0.035077674,0.035984665
30.096,5307.999,1.471,237.306,1.77,0.061,2.667,14.746,0,-0.506,-2.661,0.036924678,0.035507365,0.036216022
30.096,5307.999,1.471,237.306,1.77,0.061,2.667,14.746,0,-0.506,-2.661,0.037240974,0.035922821,0.036581898
29.416,5307.541,1.471,237.306,1.764,0.037,2.826,14.697,0.01,-0.516,-2.642,0.037627221,0.035960632,0.036793926
28.756,5308.456,1.471,237.306,1.764,0.116,3.058,14.966,0.022,-0.48,-2.642,0.037860938,0.035963491,0.036912215
